vulnerable_package,dependency_name,dependency_version_spec,vulnerability_version_specs
mlflow,gunicorn,<24,"['<19.10.0', '<19.4.0', '<19.5.0', '<21.2.0', '<22.0.0', '>=20.0.0,<20.0.1', '>=22.0.0,<23.0.0']"
mlflow,numpy,<3,"['<1.13.2', '<1.16.3', '<1.21.0rc1', '<1.22.0', '<1.22.2', '<1.8.1']"
mlflow,pandas,<3,['<0.16.0rc1']
mlflow,pyarrow,"<19,>=4.0.0","['>=0.12.0,<=0.14.1', '>=0.14.0,<=0.14.1', '>=0.14.0,<=14.0.0']"
mlflow,scikit-learn,<2,"['<0.24.2', '<1.1.0rc1', '<1.5.0']"
mlflow,scipy,<2,"['>=0,<0.12.1']"
mlflow,sqlalchemy,"<3,>=1.4.0","['<0.7.0', '<1.1.14', '<1.3.0', '<2.0.0b1', '<=1.2.17', '>=1.3.0b1,<=1.3.0b2']"
mlflow,waitress,<4,"['<0.9.0', '<1.0.0', '<1.2.0b1', '<1.4.0', '<1.4.1', '<2.1.1', '<2.1.2', '<3.0.1', '<=1.3.1', '==1.4.2', '>=0,<0.8.11b0', '>=2.1.0,<2.1.2']"
mlflow,boto3,>1,"['<1.4.5', '<1.6.12']"
mlflow,pydantic,"<3,>=1.0","['<1.10.13', '<1.10.2', '<1.6.2', '>=1.7.0a0,<1.7.4', '>=1.8.0a1,<1.8.2', '>=2.0.0,<2.4.0', '>=2.0a1,<2.4.0']"
mlflow,fastapi,<1,"['<0.109.1', '<0.18.0', '<0.30.0', '<0.37.0', '<0.60.1', '<0.65.1', '<0.65.2', '<0.75.2', '<0.92.0', '<0.95.2', '<=0.109.0']"
mlflow,uvicorn,<1,"['<0.11.7', '<0.12.3']"
mlflow,aiohttp,<4,"['<0.16.3', '<0.22.0', '<3.10.11', '<3.10.2', '<3.7.4', '<3.8.0', '<3.8.6', '<3.9.0', '<3.9.1', '<3.9.4', '<=3.8.4', '>1.0.5,<3.9.2']"
