download_count,project,dependencies_raw,dependencies_cleaned,dependencies_filtered
1467208246,boto3,"botocore<1.37.0,>=1.36.0; jmespath<2.0.0,>=0.7.1; s3transfer<0.12.0,>=0.11.0; botocore[crt]<2.0a0,>=1.21.0; extra == ""crt""",botocore; jmespath; s3transfer; botocore[crt],botocore; jmespath; s3transfer
717863698,botocore,"jmespath<2.0.0,>=0.7.1; python-dateutil<3.0.0,>=2.1; urllib3<1.27,>=1.25.4; python_version < ""3.10""; urllib3!=2.2.0,<3,>=1.25.4; python_version >= ""3.10""; awscrt==0.23.4; extra == ""crt""",jmespath; python-dateutil; urllib3; urllib3!; awscrt,jmespath; python-dateutil; urllib3; awscrt
652661947,urllib3,"brotli>=1.0.9; platform_python_implementation == ""CPython"" and extra == ""brotli""; brotlicffi>=0.8.0; platform_python_implementation != ""CPython"" and extra == ""brotli""; h2<5,>=4; extra == ""h2""; pysocks!=1.5.7,<2.0,>=1.5.6; extra == ""socks""; zstandard>=0.18.0; extra == ""zstd""",brotli; brotlicffi; h2; pysocks!; zstandard,brotli; brotlicffi; h2; zstandard
568808315,setuptools,"pytest!=8.1.*,>=6; extra == ""test""; virtualenv>=13.0.0; extra == ""test""; wheel>=0.44.0; extra == ""test""; pip>=19.1; extra == ""test""; packaging>=24.2; extra == ""test""; jaraco.envs>=2.2; extra == ""test""; pytest-xdist>=3; extra == ""test""; jaraco.path>=3.7.2; extra == ""test""; build[virtualenv]>=1.0.3; extra == ""test""; filelock>=3.4.0; extra == ""test""; ini2toml[lite]>=0.14; extra == ""test""; tomli-w>=1.0.0; extra == ""test""; pytest-timeout; extra == ""test""; pytest-perf; sys_platform != ""cygwin"" and extra == ""test""; jaraco.develop>=7.21; (python_version >= ""3.9"" and sys_platform != ""cygwin"") and extra == ""test""; pytest-home>=0.5; extra == ""test""; pytest-subprocess; extra == ""test""; pyproject-hooks!=1.1; extra == ""test""; jaraco.test>=5.5; extra == ""test""; sphinx>=3.5; extra == ""doc""; jaraco.packaging>=9.3; extra == ""doc""; rst.linker>=1.9; extra == ""doc""; furo; extra == ""doc""; sphinx-lint; extra == ""doc""; jaraco.tidelift>=1.4; extra == ""doc""; pygments-github-lexers==0.0.5; extra == ""doc""; sphinx-favicon; extra == ""doc""; sphinx-inline-tabs; extra == ""doc""; sphinx-reredirects; extra == ""doc""; sphinxcontrib-towncrier; extra == ""doc""; sphinx-notfound-page<2,>=1; extra == ""doc""; pyproject-hooks!=1.1; extra == ""doc""; towncrier<24.7; extra == ""doc""; packaging>=24.2; extra == ""core""; more_itertools>=8.8; extra == ""core""; jaraco.text>=3.7; extra == ""core""; importlib_metadata>=6; python_version < ""3.10"" and extra == ""core""; tomli>=2.0.1; python_version < ""3.11"" and extra == ""core""; wheel>=0.43.0; extra == ""core""; platformdirs>=4.2.2; extra == ""core""; jaraco.collections; extra == ""core""; jaraco.functools>=4; extra == ""core""; packaging; extra == ""core""; more_itertools; extra == ""core""; pytest-checkdocs>=2.4; extra == ""check""; pytest-ruff>=0.2.1; sys_platform != ""cygwin"" and extra == ""check""; ruff>=0.8.0; sys_platform != ""cygwin"" and extra == ""check""; pytest-cov; extra == ""cover""; pytest-enabler>=2.2; extra == ""enabler""; pytest-mypy; extra == ""type""; mypy==1.14.*; extra == ""type""; importlib_metadata>=7.0.2; python_version < ""3.10"" and extra == ""type""; jaraco.develop>=7.21; sys_platform != ""cygwin"" and extra == ""type""",pytest!; virtualenv; wheel; pip; packaging; jaraco.envs; pytest-xdist; jaraco.path; build[virtualenv]; filelock; ini2toml[lite]; tomli-w; pytest-timeout;; pytest-perf;; jaraco.develop; pytest-home; pytest-subprocess;; pyproject-hooks!; jaraco.test; sphinx; jaraco.packaging; rst.linker; furo;; sphinx-lint;; jaraco.tidelift; pygments-github-lexers; sphinx-favicon;; sphinx-inline-tabs;; sphinx-reredirects;; sphinxcontrib-towncrier;; sphinx-notfound-page; pyproject-hooks!; towncrier; packaging; more_itertools; jaraco.text; importlib_metadata; tomli; wheel; platformdirs; jaraco.collections;; jaraco.functools; packaging;; more_itertools;; pytest-checkdocs; pytest-ruff; ruff; pytest-cov;; pytest-enabler; pytest-mypy;; mypy; importlib_metadata; jaraco.develop,virtualenv; wheel; pip; packaging; pytest-xdist; filelock; tomli-w; sphinx; sphinx-notfound-page; towncrier; packaging; tomli; wheel; platformdirs; ruff; mypy
558103390,requests,"charset-normalizer<4,>=2; idna<4,>=2.5; urllib3<3,>=1.21.1; certifi>=2017.4.17; PySocks!=1.5.7,>=1.5.6; extra == ""socks""; chardet<6,>=3.0.2; extra == ""use-chardet-on-py3""",charset-normalizer; idna; urllib3; certifi; PySocks!; chardet,charset-normalizer; idna; urllib3; certifi; chardet
512454548,certifi,,,
503290854,idna,"ruff>=0.6.2; extra == ""all""; mypy>=1.11.2; extra == ""all""; pytest>=8.3.2; extra == ""all""; flake8>=7.1.1; extra == ""all""",ruff; mypy; pytest; flake8,ruff; mypy; pytest; flake8
503223936,charset-normalizer,,,
490866950,packaging,,,
471933697,typing-extensions,,,
